,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day
0,R4013,RBV-5910-3_2_4,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,R4013,RBV-5910-3_2_5,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,R4013,RBV-5910-3_2_6,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,P4079,RBV-5910-4_2_0,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,174.0,182.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,7.0
0,P4079,RBV-5910-4_2_1,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,198.0,206.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,8.0
0,P4079,RBV-5910-4_2_2,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,222.0,230.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,9.0
0,P4079,RBV-5910-4_2_3,53.48534225,-113.55742250000002,53.48534225,-113.55742250000002,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,T4086,OKY-5910-1_2_4,53.52408381,-113.50295770000001,53.52408381,-113.50295770000001,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,T4086,OKY-5910-1_2_5,53.52408381,-113.50295770000001,53.52408381,-113.50295770000001,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,T4086,OKY-5910-1_2_6,53.52408381,-113.50295770000001,53.52408381,-113.50295770000001,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,T4086,OKY-5910-1_2_0,53.52408381,-113.50295770000001,53.52408381,-113.50295770000001,174.0,182.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,7.0
0,V4432,ASY-1590-1_2_3,53.42626956,-113.57132730000001,53.42626956,-113.57132730000001,246.0,254.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,10.0
0,V4432,ASY-1590-1_2_4,53.42626956,-113.57132730000001,53.42626956,-113.57132730000001,270.0,278.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,11.0
0,V4432,ASY-1590-1_2_5,53.42626956,-113.57132730000001,53.42626956,-113.57132730000001,294.0,302.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,12.0
0,V4432,ASY-1590-1_2_6,53.42626956,-113.57132730000001,53.42626956,-113.57132730000001,318.0,326.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,13.0
0,X4247,MWD-5910-1_3_3,53.45417787,-113.4393666,53.45417787,-113.4393666,414.0,422.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,17.0
0,X4247,MWD-5910-1_3_4,53.45417787,-113.4393666,53.45417787,-113.4393666,438.0,446.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,18.0
0,X4247,MWD-5910-1_3_5,53.45417787,-113.4393666,53.45417787,-113.4393666,462.0,470.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,19.0
0,X4247,MWD-5910-1_3_6,53.45417787,-113.4393666,53.45417787,-113.4393666,486.0,494.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,20.0
0,X4247,MWD-5910-1_3_0,53.45417787,-113.4393666,53.45417787,-113.4393666,342.0,350.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,14.0
0,T4090,MWD-5910-2_3_3,53.45417787,-113.4393666,53.45417787,-113.4393666,414.0,422.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,17.0
0,T4090,MWD-5910-2_3_4,53.45417787,-113.4393666,53.45417787,-113.4393666,438.0,446.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,18.0
0,T4090,MWD-5910-2_3_5,53.45417787,-113.4393666,53.45417787,-113.4393666,462.0,470.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,19.0
0,T4090,MWD-5910-2_3_6,53.45417787,-113.4393666,53.45417787,-113.4393666,486.0,494.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,20.0
0,T4090,MWD-5910-2_3_0,53.45417787,-113.4393666,53.45417787,-113.4393666,342.0,350.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,14.0
0,R4008,MWD-5910-3_3_3,53.45417787,-113.4393666,53.45417787,-113.4393666,414.0,422.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,17.0
0,R4008,MWD-5910-3_3_4,53.45417787,-113.4393666,53.45417787,-113.4393666,438.0,446.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,18.0
0,R4008,MWD-5910-3_3_5,53.45417787,-113.4393666,53.45417787,-113.4393666,462.0,470.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,19.0
0,R4008,MWD-5910-3_3_6,53.45417787,-113.4393666,53.45417787,-113.4393666,486.0,494.75,10000.0,1.0,0.001,1.0,0.5,100.0,neighbourhood,1.0,20.0
0,R4008,MWD-5910-3_3_0,53.45417787,-113.4393666,53.45417787,-113.4393666,342.0,350.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,14.0
0,R4008,MWD-5910-3_3_1,53.45417787,-113.4393666,53.45417787,-113.4393666,366.0,374.75,10000.0,1.0,0.001,1.0,0.5,100.0,roadway,1.0,15.0
