id,GBY,RBV,OKY,ASY,DON,MWD
307.0,10413.6,11588.0,10910.6,16037.1,7760.9,4383.2
308.0,10848.1,11272.1,10594.6,15721.1,7445.0,4067.2
309.0,4073.2,13299.3,6364.2,21206.3,4214.2,12034.2
310.0,10776.2,11200.2,10522.7,15649.2,7373.1,3995.3
381.0,13890.2,10897.7,12218.5,11706.6,9665.6,1578.3
382.0,7165.6,12363.9,5428.8,18459.5,1659.2,10766.7
383.0,10965.0,11066.5,11348.2,15081.9,8198.5,3368.2
385.0,6777.6,11949.2,5014.2,19952.1,2960.0,10780.0
386.0,7163.0,11131.9,4263.4,18405.9,1605.5,10022.6
402.0,12994.6,8837.2,9873.1,12852.6,7251.0,2676.2
403.0,10926.6,9433.8,8756.4,14181.9,6272.8,3835.7
404.0,10285.6,13368.8,12691.4,18100.2,8828.0,6196.0
405.0,11351.4,13473.1,13757.2,16548.3,9893.8,5494.5
406.0,15691.4,9401.3,10437.2,10422.8,9047.3,2789.0
407.0,15570.5,9280.5,10316.3,11323.2,8926.4,3007.3
408.0,15665.9,9375.8,10411.7,10778.7,9021.8,3144.9
410.0,11282.1,14548.6,13677.9,17623.8,9814.5,6570.0
440.0,3391.1,14325.4,7942.3,21335.5,5141.6,11096.7
468.0,14367.6,14189.1,15224.9,13129.1,11925.3,4025.5
469.0,12701.4,9561.3,10597.2,13576.8,7832.8,2696.7
470.0,12255.5,12625.7,13661.5,13943.8,10362.0,2890.0
476.0,9126.8,8207.2,734.7,15573.6,2526.8,12056.5
484.0,14168.7,10011.3,11047.2,11366.6,8425.1,2178.7
511.0,5868.0,13187.1,6252.0,20380.4,3388.3,11208.3
534.0,18993.6,12412.0,13649.3,7348.7,12349.4,5371.1
535.0,6215.3,12285.6,5350.5,20080.6,3088.5,10908.5
538.0,13031.7,11897.0,12932.8,12297.3,9664.4,1624.0
547.0,14026.0,10707.1,12027.9,11516.0,9761.4,1691.7
548.0,13992.0,10840.0,12160.8,11648.9,9767.4,1680.1
553.0,11529.0,14980.5,13924.8,18055.7,10061.4,7001.9
558.0,13623.1,8821.2,9857.1,11836.5,8407.6,2934.1
560.0,10006.6,13089.9,12412.4,18174.0,8549.0,6269.8
561.0,6187.3,11613.9,5056.6,18624.0,2398.7,8385.2
568.0,4991.7,13061.2,7679.3,19896.9,5021.4,8924.4
579.0,12501.9,8925.2,9331.0,12940.6,6848.9,3178.3
590.0,1423.6,16595.7,9660.7,24570.1,7578.0,13362.1
596.0,6976.0,10862.5,8333.7,17698.2,5219.9,6725.7
597.0,10835.2,8707.2,8029.7,14090.3,5182.2,4410.3
598.0,18402.3,11278.2,12821.1,7070.6,11758.1,5755.9
609.0,17136.4,12812.5,14049.8,7749.2,12571.0,4824.5
614.0,12530.3,9390.2,10426.1,13405.7,8033.0,2525.6
615.0,11764.5,9865.4,9187.9,13753.7,6340.3,3620.6
623.0,14025.4,10873.4,12194.2,11682.3,9800.8,1713.6
624.0,13771.4,11029.2,12350.0,11709.3,9546.8,1459.5
626.0,14324.4,10815.5,11851.4,11631.3,9229.3,1990.1
640.0,11545.8,14619.1,13941.6,18334.8,10078.2,7281.0
642.0,13013.2,15066.3,15357.0,18141.5,11493.6,7087.7
643.0,6702.0,10833.5,5161.9,17843.5,2504.0,7604.8
662.0,13152.4,15205.5,15496.2,18280.7,11632.8,7226.9
666.0,15487.7,15309.2,16345.0,10354.7,13045.4,5145.6
693.0,11163.1,9035.1,8357.6,14599.5,5510.1,4919.5
694.0,7257.1,11701.9,4610.2,18711.9,1952.3,8930.8
696.0,15996.7,9421.7,10742.4,10230.5,9352.5,2596.8
724.0,11329.1,9201.1,8523.6,14765.5,5676.0,5085.5
773.0,10490.3,12029.9,11095.9,16045.3,7946.2,4141.1
777.0,14601.3,15000.7,16036.5,13619.2,12737.0,4861.8
781.0,10997.8,10932.7,11274.0,14948.2,8124.4,3234.4
786.0,12859.9,13722.2,14758.1,16797.4,11458.5,5743.6
787.0,19331.2,12749.7,13987.0,7686.4,12687.1,5708.8
789.0,15281.6,8991.5,10027.3,11034.3,8637.4,2643.9
793.0,14645.4,14466.9,15502.7,13477.3,12203.1,4303.3
809.0,6563.7,12397.4,5073.3,19407.5,2415.4,9629.4
