,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day,yard
0,Y4668,GBY-72-4_1_4,53.55975148,-113.414852,53.55975148,-113.414852,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,GBY
0,Y4668,GBY-72-4_1_5,53.55975148,-113.414852,53.55975148,-113.414852,126,134.75,10000,1,0.001,1,0.5,100,roadway,1,5,GBY
0,Y4668,GBY-72-4_1_6,53.55975148,-113.414852,53.55975148,-113.414852,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,GBY
0,Y4671,GBY-72-5_1_3,53.55975148,-113.414852,53.55975148,-113.414852,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3,GBY
0,Y4671,GBY-72-5_1_4,53.55975148,-113.414852,53.55975148,-113.414852,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,GBY
0,Y4671,GBY-72-5_1_5,53.55975148,-113.414852,53.55975148,-113.414852,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,GBY
0,Y4671,GBY-72-5_1_6,53.55975148,-113.414852,53.55975148,-113.414852,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,GBY
0,W7456,DON-72-1_1_3,53.515626,-113.4680529,53.515626,-113.4680529,78,86.75,10000,1,0.001,1,0.5,100,neighbourhood,1,3,DON
0,W7456,DON-72-1_1_4,53.515626,-113.4680529,53.515626,-113.4680529,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,DON
0,W7456,DON-72-1_1_5,53.515626,-113.4680529,53.515626,-113.4680529,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,DON
0,W7456,DON-72-1_1_6,53.515626,-113.4680529,53.515626,-113.4680529,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,DON
0,Y4672,DON-72-2_1_3,53.515626,-113.4680529,53.515626,-113.4680529,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3,DON
0,Y4672,DON-72-2_1_4,53.515626,-113.4680529,53.515626,-113.4680529,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,DON
0,Y4672,DON-72-2_1_5,53.515626,-113.4680529,53.515626,-113.4680529,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,DON
0,Y4672,DON-72-2_1_6,53.515626,-113.4680529,53.515626,-113.4680529,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,DON
0,W7458,RBV-72-1_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,RBV
0,W7458,RBV-72-1_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,roadway,1,1,RBV
0,W7458,RBV-72-1_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,roadway,1,2,RBV
0,W7458,RBV-72-1_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3,RBV
0,W7460,RBV-72-2_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,RBV
0,W7460,RBV-72-2_1_1,53.48534225,-113.5574225,53.48534225,-113.5574225,30,38.75,10000,1,0.001,1,0.5,100,roadway,1,1,RBV
0,W7460,RBV-72-2_1_2,53.48534225,-113.5574225,53.48534225,-113.5574225,54,62.75,10000,1,0.001,1,0.5,100,roadway,1,2,RBV
0,W7460,RBV-72-2_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3,RBV
0,W7461,RBV-72-3_1_0,53.48534225,-113.5574225,53.48534225,-113.5574225,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,RBV
