,Id,Level,cluster,day,end-time,start-time,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,Service-duration-1,type,service-duration,
601,1042_0_B1,B1,,5,5.0d 14:45:00,5.0d 06:00:00,,53.42625235,-113.5373578,MacEwan,1,1,1042_0,neighbourhood,0.5133333333,D,0.4052631579,
1621,1042_1_B1,B1,,18,18.0d 14:45:00,18.0d 06:00:00,,53.42625235,-113.5373578,MacEwan,1,1,1042_1,neighbourhood,0.5133333333,D,0.4052631579,
66,1048.0_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.42474558,-113.4309533,CHARLESWORTH,1,1,1048.0_0,roadway,0.9966666667,D,0.7868421053,
1086,1048.0_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.42474558,-113.4309533,CHARLESWORTH,1,1,1048.0_1,roadway,0.9966666667,D,0.7868421053,
2428,105_0_B1,B1,27,,11d 14:45:00,10d 06:00:00,,53.46691025,-113.5344493,Sweet Grass,1,1,105_0,neighbourhood,0.533,D,0.4207894737,
2428,105_1_B1,B1,27,,20d 14:45:00,19d 06:00:00,,53.46691025,-113.5344493,Sweet Grass,1,1,105_0,neighbourhood,0.533,D,0.4207894737,
67,1050.0_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.42493252,-113.4311662,CHARLESWORTH,10,1,1050.0_0,roadway,1.9933333333,D,1.5736842105,
1087,1050.0_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.42493252,-113.4311662,CHARLESWORTH,10,1,1050.0_1,roadway,1.9933333333,D,1.5736842105,
3,106.0_0_B1,B1,,4,4.0d 14:45:00,4.0d 06:00:00,,53.51372262,-113.4813008,RITCHIE,1,1,106.0_0,neighbourhood,3.63,D,2.8657894737,
1023,106.0_1_B1,B1,,17,17.0d 14:45:00,17.0d 06:00:00,,53.51372262,-113.4813008,RITCHIE,1,1,106.0_1,neighbourhood,3.63,D,2.8657894737,
4,107.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.51014172,-113.4792693,RITCHIE,10,1,107.0_0,neighbourhood,0.39,D,0.3078947368,
1024,107.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.51014172,-113.4792693,RITCHIE,10,1,107.0_1,neighbourhood,0.39,D,0.3078947368,
602,1072_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.48827938,-113.5304618,Lendrum Place,10,1,1072_0,neighbourhood,1.6,D,1.2631578947,
1622,1072_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.48827938,-113.5304618,Lendrum Place,10,1,1072_1,neighbourhood,1.6,D,1.2631578947,
68,1075.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.53849365,-113.4265287,OTTEWELL,10,1,1075.0_0,neighbourhood,1.1333333333,D,0.8947368421,
1088,1075.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.53849365,-113.4265287,OTTEWELL,10,1,1075.0_1,neighbourhood,1.1333333333,D,0.8947368421,
69,1091.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.48405855,-113.4134176,JACKSON HEIGHTS,10,1,1091.0_0,neighbourhood,0.2866666667,D,0.2263157895,
1089,1091.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.48405855,-113.4134176,JACKSON HEIGHTS,10,1,1091.0_1,neighbourhood,0.2866666667,D,0.2263157895,
603,1095_0_B1,B1,,9,9.0d 14:45:00,9.0d 06:00:00,,53.480068929,-113.494374941,Calgary Trail North,1,1,1095_0,roadway,0.29,D,0.2289473684,
1623,1095_1_B1,B1,,15,15.0d 14:45:00,15.0d 06:00:00,,53.480068929,-113.494374941,Calgary Trail North,1,1,1095_1,roadway,0.29,D,0.2289473684,
604,1096_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.480765766,-113.494064577,Calgary Trail South,10,1,1096_0,roadway,0.4133333333,D,0.3263157895,
1624,1096_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.480765766,-113.494064577,Calgary Trail South,10,1,1096_1,roadway,0.4133333333,D,0.3263157895,
605,1099_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.45723076,-113.5654385,Hodgson,10,1,1099_0,roadway,0.54,D,0.4263157895,
1625,1099_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.45723076,-113.5654385,Hodgson,10,1,1099_1,roadway,0.54,D,0.4263157895,
2391,11.0_0_B1,B1,20,,11d 14:45:00,10d 06:00:00,,53.46538095,-113.3947684,KINISKI GARDENS,1,1,11.0_0,neighbourhood,0.845,D,0.6671052632,
2391,11.0_1_B1,B1,20,,20d 14:45:00,19d 06:00:00,,53.46538095,-113.3947684,KINISKI GARDENS,1,1,11.0_0,neighbourhood,0.845,D,0.6671052632,
2429,110_0_B1,B1,41,,11d 14:45:00,10d 06:00:00,,53.42017533,-113.5321705,Rutherford,1,1,110_0,neighbourhood,1.2913333333,D,1.0194736842,
2429,110_1_B1,B1,41,,20d 14:45:00,19d 06:00:00,,53.42017533,-113.5321705,Rutherford,1,1,110_0,neighbourhood,1.2913333333,D,1.0194736842,
606,1101_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.48322226,-113.5484202,Lansdowne,10,1,1101_0,roadway,3.6036666667,D,2.845,
1626,1101_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.48322226,-113.5484202,Lansdowne,10,1,1101_1,roadway,3.6036666667,D,2.845,
70,1103.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.46609391,-113.4143055,MINCHAU,10,1,1103.0_0,neighbourhood,2.4133333333,D,1.9052631579,
1090,1103.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.46609391,-113.4143055,MINCHAU,10,1,1103.0_1,neighbourhood,2.4133333333,D,1.9052631579,
607,1107_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.51654634,-113.5226287,Garneau,10,1,1107_0,neighbourhood,0.3133333333,D,0.2473684211,
1627,1107_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.51654634,-113.5226287,Garneau,10,1,1107_1,neighbourhood,0.3133333333,D,0.2473684211,
608,1109_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.52178477,-113.5371705,Windsor Park,10,1,1109_0,neighbourhood,0.3366666667,D,0.2657894737,
1628,1109_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.52178477,-113.5371705,Windsor Park,10,1,1109_1,neighbourhood,0.3366666667,D,0.2657894737,
71,1113.0_0_B1,B1,,,10d 14:45:00,10d 06:00:00,,53.45538745,-113.467122,PARSONS INDUSTRIAL,10,1,1113.0_0,roadway,3.8366666667,D,3.0289473684,
1091,1113.0_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.45538745,-113.467122,PARSONS INDUSTRIAL,10,1,1113.0_1,roadway,3.8366666667,D,3.0289473684,
609,1114_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.47870935,-113.539798,Royal Gardens,10,1,1114_0,roadway,4.44,D,3.5052631579,
1629,1114_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.47870935,-113.539798,Royal Gardens,10,1,1114_1,roadway,4.44,D,3.5052631579,
